XMeans(max_clusters=550),XMeans(max_clusters=550),XMeans(max_clusters=550),XMeans(max_clusters=550),XMeans(max_clusters=550),XMeans(max_clusters=550),XMeans(max_clusters=550),XMeans(max_clusters=550),XMeans(max_clusters=550),XMeans(max_clusters=550),XMeans(max_clusters=551),XMeans(max_clusters=551),XMeans(max_clusters=551),XMeans(max_clusters=551),XMeans(max_clusters=551),XMeans(max_clusters=551),XMeans(max_clusters=551),XMeans(max_clusters=551),XMeans(max_clusters=551),XMeans(max_clusters=551)
280,357,427,8,60,360,367,464,388,35,79,179,39,123,244,178,207,437,77,426
196,12,99,192,253,185,214,231,331,376,246,535,485,373,461,101,490,279,492,290
159,40,75,203,237,208,222,248,318,393,238,523,495,391,449,83,484,267,504,314
173,34,93,177,238,201,224,253,311,395,229,542,496,399,444,82,483,265,499,299
445,460,113,135,262,242,310,426,296,239,277,188,458,408,353,119,273,257,3,373
499,432,324,261,191,474,324,341,117,229,178,183,219,196,474,272,49,14,244,241
160,23,82,204,236,210,221,249,329,378,239,527,497,405,470,84,502,277,505,315
159,40,75,203,237,208,223,248,318,393,238,523,495,390,449,83,484,267,504,314
334,296,404,61,47,399,414,469,417,27,37,118,78,111,275,184,166,457,63,385
169,38,94,175,242,202,228,255,316,399,228,544,475,395,447,82,479,264,501,304
190,30,103,179,228,195,208,246,323,404,225,547,481,383,453,90,472,273,484,289
144,66,114,138,264,254,489,185,297,321,276,494,441,409,485,118,274,258,528,371
198,10,97,193,245,187,219,231,330,391,243,536,484,407,458,98,489,278,494,297
148,299,444,144,267,372,446,188,292,42,266,498,119,414,478,124,124,243,538,359
195,9,107,194,254,188,213,230,330,389,245,536,487,374,457,99,491,278,493,296
183,45,340,202,217,211,191,268,138,416,214,514,505,514,491,252,506,123,471,200
179,0,347,278,223,175,200,274,131,410,211,509,500,510,494,257,509,128,474,199
297,320,405,37,74,364,454,455,426,50,73,139,110,117,234,183,199,443,72,396
163,16,90,198,251,184,229,232,332,373,230,537,470,402,464,89,495,280,506,306
210,53,321,129,260,420,313,180,123,212,274,505,454,412,484,265,127,94,291,151
335,288,394,53,48,355,413,423,418,28,38,119,80,112,274,185,164,459,62,379
176,2,343,279,221,464,197,269,130,417,212,518,504,507,493,250,511,125,472,201
184,41,342,255,220,176,189,271,141,415,210,513,506,512,489,253,504,122,467,203
251,88,8,464,309,409,305,228,176,267,159,230,435,524,23,462,120,57,298,163
160,23,82,204,236,210,221,250,329,378,239,529,497,405,470,84,502,277,505,315
278,369,425,9,58,362,378,468,395,38,89,175,38,119,250,175,211,433,54,431
284,344,422,6,51,404,423,400,411,16,46,182,82,98,276,157,173,468,71,439
251,88,8,464,309,409,305,228,176,268,159,230,435,524,23,462,84,57,299,163
191,24,78,171,231,193,205,247,325,401,225,549,481,385,455,90,474,272,486,289
165,18,87,183,252,180,233,238,329,371,231,527,472,401,463,89,501,277,508,309
261,349,375,16,26,334,376,375,397,67,92,159,36,150,233,146,240,416,53,423
199,39,76,205,226,207,210,257,319,381,223,525,494,389,450,95,470,269,479,287
210,53,321,129,260,420,313,180,123,212,274,505,454,412,484,265,127,94,291,151
183,45,340,202,217,211,191,268,138,416,214,514,505,514,491,252,506,123,471,200
193,8,96,190,247,189,217,231,331,374,248,531,482,379,460,97,487,279,491,293
172,33,92,174,238,199,225,252,313,394,226,542,463,396,442,81,480,260,498,300
199,39,76,205,226,207,210,257,319,381,223,525,494,389,450,95,470,269,479,287
179,1,344,277,223,175,199,274,131,409,211,509,501,510,487,259,508,128,476,198
497,60,328,262,190,473,322,344,121,215,260,504,222,197,473,274,50,89,286,153
177,3,343,280,222,174,198,270,130,418,212,518,503,509,490,250,511,124,468,202
186,28,102,182,229,197,202,243,328,405,225,545,479,381,452,94,475,276,480,288
163,16,90,198,251,184,221,232,329,373,230,528,470,402,464,89,495,277,506,306
160,23,81,204,236,210,221,249,329,379,239,527,497,405,470,85,502,277,505,315
192,7,100,188,255,189,216,230,331,377,248,532,483,380,462,102,493,279,489,292
496,124,227,133,184,521,168,170,145,183,288,448,423,529,34,300,97,86,285,181
158,61,115,137,266,251,484,184,295,241,272,495,460,410,351,121,275,256,529,372
180,0,347,199,224,213,200,275,132,410,215,511,500,508,494,257,513,129,474,199
184,41,342,255,220,176,189,271,141,415,210,513,506,512,489,253,504,122,467,203
164,22,85,185,235,178,230,239,332,370,237,541,472,403,463,88,500,281,507,308
148,299,444,144,267,330,446,188,292,42,266,498,119,414,478,124,124,243,538,359
159,40,75,203,237,208,223,248,318,393,238,523,495,391,449,83,484,267,504,314
211,56,329,128,261,470,309,179,124,213,275,184,453,207,483,266,130,93,290,235
169,38,94,175,242,202,228,255,316,399,228,544,475,395,447,82,479,264,501,304
160,23,81,204,236,210,221,250,329,378,239,528,497,405,470,85,502,277,505,315
193,8,106,190,247,189,217,231,330,374,248,531,493,379,460,97,487,278,491,293
171,32,94,174,238,204,225,251,315,394,226,543,496,397,441,81,479,262,503,303
175,35,91,174,241,198,227,254,312,397,226,542,473,393,446,81,481,259,496,301
176,2,341,201,221,463,197,269,129,417,216,519,504,507,493,251,512,125,472,201
194,5,105,189,244,189,218,230,331,392,242,533,482,378,458,96,488,279,490,295
160,23,82,204,236,210,221,249,329,379,239,529,497,405,470,84,502,277,505,315
199,39,76,205,225,206,209,263,320,388,223,524,494,389,450,95,469,268,479,287
215,129,223,245,289,526,160,194,150,204,278,472,424,495,30,284,134,106,278,183
172,33,92,174,238,199,225,252,313,394,226,542,463,396,442,81,480,260,498,300
193,8,96,190,247,189,217,231,331,374,248,531,482,379,460,97,487,279,491,293
182,43,345,200,218,214,193,272,140,412,221,512,498,513,488,258,507,126,473,197
298,319,408,36,77,319,453,454,425,48,71,135,112,113,370,182,197,441,73,397
446,458,111,139,210,468,316,425,355,244,179,191,237,240,354,236,46,13,2,238
335,288,394,53,48,355,413,423,418,28,38,119,80,112,274,185,164,459,62,379
198,10,97,193,245,187,219,231,331,391,243,536,484,376,458,98,489,279,494,297
298,319,408,36,77,319,453,454,425,48,71,135,112,113,370,182,197,441,73,397
180,0,347,278,224,175,199,274,132,409,211,509,501,508,494,259,508,129,476,199
170,36,94,174,242,203,226,254,314,396,226,543,476,394,448,81,479,261,500,302
188,27,79,170,231,191,203,241,324,402,225,549,481,387,451,93,473,271,483,289
234,112,238,276,334,436,181,218,161,170,323,459,403,549,5,321,104,112,259,165
251,88,8,464,309,409,305,228,176,268,159,230,435,524,23,462,84,57,300,163
185,29,101,181,230,194,207,261,328,406,222,546,480,382,453,92,476,274,485,288
185,25,77,173,232,192,206,245,327,407,225,550,478,386,454,91,478,275,487,288
172,33,92,174,238,199,225,252,313,394,226,542,496,396,442,81,480,260,498,300
218,132,225,247,287,523,162,199,154,201,282,474,427,493,24,292,136,105,280,185
161,19,84,195,233,181,229,235,332,368,234,539,467,400,466,87,496,281,509,311
236,121,244,269,322,419,175,216,169,182,327,456,410,528,12,312,100,87,307,145
183,41,340,255,220,211,189,271,141,416,210,513,506,512,491,252,504,123,471,200
179,1,344,278,223,175,199,274,131,409,211,509,501,510,487,259,509,128,476,198
161,19,84,195,233,181,229,235,329,368,234,529,467,400,466,87,496,277,509,311
194,6,108,187,254,189,215,230,330,390,244,534,488,377,456,100,492,278,488,294
162,21,86,196,234,182,229,234,329,372,236,538,471,404,465,86,494,277,506,307
324,269,369,38,41,327,407,385,378,65,98,137,43,178,364,150,254,411,37,400
174,37,91,176,240,200,228,255,310,398,229,542,474,392,445,82,482,266,497,298
234,112,238,276,334,436,181,218,161,170,323,459,403,549,5,321,104,112,259,165
180,0,347,277,224,175,200,274,131,410,211,509,500,508,494,259,509,129,474,198
210,53,321,129,260,420,313,180,123,212,274,505,454,412,484,265,127,94,291,151
184,41,342,255,220,176,189,271,141,415,210,513,506,512,489,253,504,122,467,203
210,53,321,129,260,420,313,180,123,212,274,505,454,412,484,265,127,94,291,151
170,36,94,174,242,203,226,254,314,396,226,543,476,394,448,81,479,261,500,302
173,34,93,177,238,201,224,253,311,395,229,542,464,399,444,82,483,265,499,299
498,59,334,256,192,476,323,343,119,181,258,502,221,198,475,275,51,91,282,234
201,14,109,206,243,209,212,229,330,380,224,526,492,406,471,103,485,278,478,286
245,52,330,124,273,469,312,183,126,237,270,186,461,206,481,269,129,26,289,231
160,23,82,204,236,210,221,250,329,378,239,528,497,405,470,84,502,277,505,315
183,45,340,202,217,211,191,268,138,416,219,514,505,514,491,252,506,123,471,200
499,432,324,261,191,474,324,341,117,229,178,183,219,196,474,272,49,15,244,241
179,0,347,278,223,175,199,274,132,409,211,509,500,510,494,257,508,128,474,199
192,7,100,188,255,189,216,230,331,377,248,532,483,380,462,102,493,279,489,292
176,2,341,201,221,212,197,269,129,417,216,519,504,507,493,251,512,125,472,201
180,0,347,199,224,213,200,275,132,410,217,511,500,508,494,257,513,129,474,199
273,334,391,20,23,351,379,403,399,69,14,163,6,91,220,140,151,419,51,444
144,66,114,138,264,254,489,185,297,321,276,494,441,409,485,118,274,258,528,371
168,31,94,178,238,205,224,251,317,400,227,544,465,398,443,82,479,263,502,305
476,449,501,217,180,443,361,319,187,253,200,220,207,214,502,342,9,51,250,253
193,8,96,190,247,189,217,231,331,374,248,531,482,379,460,97,487,279,491,293
185,29,101,181,230,194,207,261,328,406,222,546,480,382,453,92,476,274,485,288
222,128,231,253,284,516,157,169,147,209,284,476,419,500,32,302,140,97,271,177
187,26,80,172,232,190,201,242,326,408,225,550,477,388,451,94,477,276,481,288
182,43,345,200,218,214,193,272,140,412,221,512,498,513,488,258,507,126,473,197
191,24,78,171,231,193,205,247,325,401,225,549,481,385,455,90,474,272,486,289
446,458,111,139,210,468,316,425,355,244,179,191,237,240,354,236,46,13,2,238
194,6,108,187,254,189,215,230,331,390,244,534,488,377,456,100,492,279,488,294
468,446,484,244,177,487,352,323,199,216,190,205,204,229,516,326,2,39,234,266
199,39,76,205,225,206,210,258,319,384,223,525,494,389,450,95,469,269,479,287
175,35,91,174,241,198,227,254,312,397,226,542,473,393,446,81,481,259,496,301
197,11,98,191,246,186,220,231,331,375,247,535,485,375,459,98,486,279,495,291
159,40,75,203,239,208,222,248,318,393,238,523,495,390,449,83,484,267,504,314
200,14,109,206,243,209,212,229,330,380,241,526,493,406,471,103,485,278,477,286
335,288,394,53,48,355,413,423,418,28,38,119,80,112,274,185,164,459,62,379
222,128,231,253,284,516,157,169,147,209,284,476,419,500,32,302,140,97,271,177
280,357,427,8,60,360,367,464,388,35,79,179,39,123,244,178,207,437,76,426
148,299,444,144,267,330,446,188,292,42,266,498,119,414,478,124,124,243,538,359
179,1,344,278,223,175,199,274,131,409,211,509,501,510,487,259,509,128,476,198
144,66,114,138,264,254,489,185,297,321,276,494,442,409,485,118,274,258,528,371
187,26,80,172,232,190,201,242,326,408,222,550,477,388,451,94,477,276,481,288
185,25,77,173,232,192,206,260,327,407,222,550,478,386,454,91,478,275,487,288
179,1,344,277,223,175,199,274,131,409,211,509,501,510,487,259,508,128,476,198
197,11,98,191,246,186,220,231,330,375,247,535,493,375,459,98,486,278,495,291
174,37,91,176,240,200,228,255,310,398,229,542,474,392,445,82,482,266,497,298
232,114,242,265,331,417,174,213,158,178,321,457,411,547,8,319,102,80,305,148
181,43,345,254,219,177,190,272,140,412,221,510,498,511,488,258,505,127,475,197
178,3,343,279,222,174,198,270,130,418,212,518,503,509,490,250,511,124,468,202
330,316,413,145,271,375,444,189,293,40,267,499,107,416,479,122,204,240,534,365
185,25,77,173,232,192,206,260,327,407,222,550,478,386,454,91,478,275,487,288
146,297,443,147,268,374,447,187,291,44,269,497,117,415,477,125,125,242,539,360
181,43,345,200,218,214,193,273,139,411,221,512,498,513,492,256,507,127,473,197
298,319,408,36,77,319,453,454,425,48,71,135,112,113,370,182,197,441,73,397
167,20,83,186,233,178,231,236,332,368,235,540,469,400,469,88,499,281,509,310
446,458,111,139,210,468,316,425,355,244,179,191,237,240,354,236,46,13,2,238
175,35,91,174,241,198,227,254,312,397,226,542,473,393,446,81,481,259,496,301
463,431,327,213,207,472,314,345,127,232,180,187,236,205,549,270,44,27,221,232
283,330,392,23,21,405,385,401,411,17,47,162,3,99,219,156,171,467,70,440
160,23,81,204,236,210,221,250,329,379,239,528,497,405,470,85,502,277,505,315
238,116,320,273,324,433,165,220,167,171,329,443,405,534,0,288,106,107,262,158
184,41,342,255,220,176,189,271,141,415,210,513,506,512,489,253,504,122,467,203
182,44,346,200,218,214,192,273,139,411,213,512,499,513,492,256,507,126,473,196
161,15,89,197,248,183,229,233,329,369,233,530,467,400,467,89,497,277,510,312
159,40,75,203,237,208,223,248,318,393,238,523,495,390,449,83,484,267,504,314
181,43,345,200,218,214,193,273,140,411,221,512,498,513,488,258,507,127,473,197
161,19,84,195,233,181,229,235,329,368,234,529,467,400,466,87,496,277,509,311
185,29,101,181,230,194,207,261,328,406,222,546,480,382,453,92,476,274,485,288
295,267,348,42,36,321,410,387,374,62,103,105,44,180,369,149,252,407,40,398
201,14,109,206,243,209,212,229,330,380,224,526,491,406,471,103,485,278,478,286
159,40,75,203,239,208,223,248,318,393,238,523,495,391,449,83,484,267,504,314
442,471,354,169,216,326,360,431,338,238,68,192,239,238,349,226,248,409,7,277
344,295,424,60,7,398,416,474,420,26,39,121,100,110,279,187,165,455,45,390
186,28,102,182,229,197,202,243,328,405,225,545,479,381,452,94,475,276,480,288
184,41,342,255,220,176,189,271,141,415,210,513,506,512,489,253,504,122,467,203
186,28,102,182,229,197,202,243,328,405,225,545,479,381,452,94,475,276,480,288
183,45,340,202,217,211,191,268,138,416,219,514,505,514,491,252,506,123,471,200
185,25,77,173,232,192,206,260,327,407,222,550,478,386,454,91,478,275,487,288
188,27,79,170,231,191,203,241,324,402,225,549,481,387,451,93,473,271,483,289
165,18,87,183,252,180,233,238,329,371,231,527,472,401,463,89,501,277,508,309
298,319,408,36,77,319,453,454,425,48,71,135,112,113,370,182,197,441,73,397
162,21,86,196,234,182,229,234,332,372,236,538,471,404,465,86,494,281,506,307
197,11,98,191,246,186,220,231,331,375,247,535,485,375,459,98,486,279,495,291
182,44,346,200,218,214,192,273,139,411,213,512,499,513,492,256,507,126,473,196
149,70,122,483,280,244,481,429,302,322,256,486,456,423,357,113,271,251,5,375
211,56,329,128,261,470,309,179,124,213,275,184,453,207,483,266,130,93,290,236
148,299,444,144,267,372,446,188,292,42,266,498,119,414,478,124,124,243,538,359
331,271,397,55,15,354,405,422,370,60,0,103,0,170,367,144,154,427,43,377
179,0,347,278,224,175,200,274,132,409,211,509,501,508,494,257,509,129,476,199
191,24,78,171,231,193,205,247,325,401,222,549,481,385,455,90,474,272,486,289
165,18,87,183,250,180,233,238,332,371,231,537,472,401,463,89,501,280,508,309
161,19,84,195,233,181,229,235,332,368,234,539,467,400,466,87,496,281,509,311
165,18,87,183,250,180,233,238,332,371,231,537,472,401,463,89,501,280,508,309
185,29,101,181,230,194,207,261,328,406,222,546,480,382,453,92,476,274,485,288
159,40,75,203,239,208,222,248,318,393,238,523,495,390,449,83,484,267,504,314
187,26,80,172,232,190,201,242,326,408,222,550,477,388,451,94,477,276,481,288
297,320,406,34,75,364,451,455,426,50,74,139,110,116,235,183,198,442,72,395
210,53,321,129,260,420,313,180,123,212,274,505,454,412,484,265,127,94,291,151
161,15,89,197,248,183,229,233,332,369,233,537,467,400,467,89,497,280,510,312
334,296,403,61,47,399,414,469,417,27,37,118,78,111,275,184,166,457,63,385
145,66,114,138,264,254,489,185,297,321,276,494,441,409,485,118,274,258,528,371
206,57,335,260,269,520,179,177,122,214,259,503,422,516,472,267,123,90,283,154
210,53,321,129,260,420,313,180,123,212,274,505,454,412,484,265,127,94,291,151
181,43,345,254,219,177,190,272,140,412,221,510,498,511,488,258,505,127,475,197
169,38,94,175,242,202,228,255,316,399,228,544,475,395,447,82,479,264,501,304
185,29,101,181,230,194,207,244,328,406,225,546,480,382,453,92,476,274,485,288
194,6,108,187,254,189,215,230,331,390,244,534,488,377,456,100,492,279,488,294
187,26,80,172,232,190,201,242,326,408,225,550,477,388,451,94,477,276,481,288
497,60,328,262,190,473,322,344,121,215,260,504,222,197,473,274,50,89,286,153
206,57,335,260,269,520,179,177,122,214,259,503,422,516,472,267,123,90,283,154
199,39,76,205,226,207,210,257,319,381,223,525,494,389,450,95,470,269,479,287
196,12,99,192,253,185,214,231,331,376,246,535,485,373,461,101,490,279,492,290
162,21,86,196,234,182,229,234,332,372,236,538,471,404,465,86,494,281,506,307
331,271,397,55,15,354,405,422,370,60,0,103,0,170,367,144,154,427,43,377
280,357,427,8,60,360,367,464,388,35,79,179,39,123,244,178,207,437,77,426
182,44,346,200,218,214,192,273,139,411,220,512,499,513,492,256,507,126,473,196
183,41,340,255,220,211,189,271,138,415,210,514,506,514,491,252,504,123,471,200
179,1,344,277,223,175,199,274,131,409,211,509,501,510,487,259,508,128,476,198
237,117,243,268,319,416,186,215,163,187,328,440,409,526,11,313,91,88,306,147
186,28,102,182,229,197,202,243,328,405,222,545,479,381,452,94,475,276,480,288
178,3,343,279,222,174,198,270,130,418,212,518,503,509,490,250,511,124,468,202
166,17,88,184,249,179,232,237,329,369,232,530,468,400,468,89,498,277,510,313
200,14,109,206,243,209,212,229,330,380,241,526,493,406,471,103,485,278,477,286
176,2,341,279,222,174,197,269,130,417,212,518,504,509,493,250,511,124,472,201
162,21,86,196,234,182,229,234,332,372,236,538,471,404,465,86,494,281,506,307
163,16,90,198,251,184,229,232,332,373,230,537,470,402,464,89,495,280,506,306
160,23,82,204,236,210,221,249,329,378,239,527,497,405,470,84,502,277,505,315
183,45,340,202,217,211,191,268,138,416,219,514,505,514,491,252,506,123,471,200
195,9,107,194,254,188,213,230,330,389,245,536,487,374,457,99,491,278,493,296
159,40,75,203,237,208,222,248,318,393,238,523,495,391,449,83,484,267,504,314
184,41,342,255,220,176,189,271,141,415,210,513,506,512,489,253,504,122,467,203
179,0,347,278,223,175,199,274,132,409,211,509,500,510,494,257,508,128,474,199
168,31,94,178,238,205,224,251,317,400,227,544,465,398,443,82,479,263,502,305
200,13,109,206,243,209,211,229,330,380,240,526,486,407,471,103,485,278,477,286
235,113,237,275,333,432,182,219,160,175,324,460,402,550,4,320,109,112,264,166
236,121,244,269,322,419,175,216,169,182,327,455,410,528,12,312,100,87,307,145
180,0,347,199,224,213,200,275,132,410,215,511,500,508,494,257,513,129,474,199
147,315,414,146,270,373,445,186,290,41,268,496,105,417,480,123,202,241,536,364
177,3,343,280,222,174,198,270,130,418,212,518,503,509,490,250,511,124,468,202
463,431,327,213,207,472,314,345,127,232,180,187,236,205,549,270,44,27,221,232
344,295,423,60,7,398,416,474,420,26,39,121,100,110,279,187,165,455,45,390
462,55,326,212,206,471,315,346,128,233,177,185,235,204,550,271,45,16,222,239
232,114,242,265,331,417,174,213,158,178,321,457,411,547,8,319,102,80,305,148
237,117,243,268,319,416,186,215,163,187,328,440,409,526,11,313,91,88,306,147
443,67,118,166,213,248,491,430,300,319,264,500,242,236,350,225,284,10,6,276
176,2,341,279,221,464,197,269,130,417,212,518,504,509,493,250,511,125,472,201
159,40,75,203,239,208,223,248,318,393,238,523,495,391,449,83,484,267,504,314
201,14,109,206,243,209,211,229,330,380,224,526,490,406,471,103,485,278,478,286
179,0,347,278,224,175,200,274,132,409,211,509,501,508,494,257,509,129,476,199
174,37,91,176,240,200,228,255,310,398,229,542,474,392,445,82,482,266,497,298
188,27,79,170,231,191,203,241,324,402,222,549,481,387,451,93,473,271,483,289
162,21,86,196,234,182,229,234,329,372,236,538,471,404,465,86,494,277,506,307
220,123,228,250,291,519,153,171,143,207,287,478,421,499,35,298,145,99,274,178
160,23,81,204,236,210,221,249,329,379,239,527,497,405,470,85,502,277,505,315
486,429,509,210,171,439,339,326,190,247,208,222,224,217,496,328,18,50,215,259
206,57,335,260,269,520,179,177,122,214,259,503,422,516,472,267,123,90,283,154
183,45,340,202,217,211,191,268,138,416,214,514,505,514,491,252,506,123,471,200
174,37,91,176,240,200,228,255,310,398,229,542,474,392,445,82,482,266,497,298
170,36,94,174,242,203,226,254,314,396,226,543,476,394,448,81,479,261,500,302
168,31,94,178,238,205,224,251,317,400,227,544,465,398,443,82,479,263,502,305
278,369,425,9,58,362,378,468,395,38,89,175,38,120,250,175,211,433,54,431
284,344,422,6,51,404,423,400,411,16,46,182,82,98,276,157,173,468,71,439
238,469,320,272,324,433,165,220,167,171,329,443,405,534,0,288,106,107,262,158
295,267,348,41,36,320,410,387,374,63,103,104,45,181,369,148,252,407,39,398
199,39,76,205,226,207,209,256,319,385,223,525,494,389,450,95,470,269,479,287
169,38,94,175,242,202,228,255,316,399,228,544,475,395,447,82,479,264,501,304
182,43,345,200,219,214,193,273,140,411,221,512,498,511,492,256,507,127,473,197
197,11,98,191,246,186,220,231,331,375,247,535,485,375,459,98,486,279,495,291
184,41,342,255,220,211,189,271,141,415,210,514,506,512,491,252,504,123,471,200
190,30,103,179,228,195,208,262,323,404,222,547,481,383,453,90,472,273,484,289
193,8,106,190,247,189,217,231,331,374,248,531,482,379,460,97,487,279,491,293
194,6,108,187,254,189,215,230,331,390,244,534,488,377,456,100,492,279,488,294
331,271,397,55,15,354,405,422,370,60,0,103,0,170,367,144,154,427,43,377
184,41,342,255,220,176,189,271,141,415,210,513,506,512,489,253,504,122,467,203
168,31,94,178,238,205,224,251,317,400,227,544,496,398,443,82,479,263,502,305
329,277,379,48,30,331,394,382,384,82,97,86,33,184,384,230,249,431,537,411
297,320,405,37,74,364,454,455,426,50,73,139,110,117,234,183,199,443,72,396
160,23,82,204,236,210,221,250,329,378,239,529,497,405,470,84,502,277,505,315
183,41,340,255,220,211,189,271,141,415,210,513,506,514,489,252,504,123,471,200
145,66,114,138,264,254,489,185,297,240,276,494,441,409,485,118,274,258,528,371
171,32,94,174,238,204,225,251,315,394,226,543,466,397,441,81,479,262,503,303
297,320,406,37,75,364,451,455,426,50,73,139,110,116,234,183,198,442,72,395
180,0,347,199,224,213,200,275,132,410,215,511,500,508,494,257,513,129,474,199
161,19,84,195,233,181,229,235,332,368,234,539,467,400,466,87,496,281,509,311
260,350,374,19,19,336,374,373,392,71,102,158,35,148,231,145,243,413,55,435
194,6,108,187,254,189,215,230,331,390,244,534,488,377,456,100,492,279,488,294
182,44,346,200,218,214,192,273,139,411,213,512,499,513,492,256,507,126,473,196
296,267,348,41,36,320,409,387,373,63,103,104,45,181,369,148,252,407,40,398
487,427,503,209,196,442,335,325,184,246,197,212,225,219,497,338,19,31,249,256
237,117,243,268,319,416,186,215,157,187,328,440,409,526,11,313,91,79,306,147
159,40,75,203,239,208,223,248,318,393,238,523,495,391,449,83,484,267,504,314
181,43,345,254,219,177,190,272,140,412,221,510,498,511,488,258,505,127,475,197
174,37,91,176,240,200,228,255,310,398,229,542,474,392,445,82,482,266,497,298
182,44,346,200,218,214,192,273,139,411,220,512,499,513,492,256,507,126,473,196
194,5,95,189,244,189,218,230,331,392,242,533,482,378,458,96,488,279,490,295
164,22,85,185,235,178,230,239,329,370,237,541,472,403,463,88,500,277,507,308
219,133,224,248,290,522,161,198,155,200,281,475,426,494,29,293,135,104,279,184
206,57,335,260,269,520,179,177,122,214,259,503,422,516,472,267,123,90,283,154
194,6,108,187,254,189,215,230,331,390,244,534,488,377,456,100,492,279,488,294
169,38,94,175,242,202,228,255,316,399,228,544,475,395,447,82,479,264,501,304
444,470,415,167,215,430,469,432,340,341,261,485,249,237,350,107,285,246,515,278
195,9,107,194,254,188,213,230,330,389,245,536,487,374,457,99,491,278,493,296
181,43,345,254,219,177,190,272,140,412,221,510,498,511,488,258,505,127,475,197
158,61,115,137,266,251,484,184,295,241,272,495,460,410,351,121,275,256,529,372
186,28,102,182,229,197,202,243,328,405,222,545,479,381,452,94,475,276,480,288
176,2,341,201,221,212,197,269,129,417,218,519,504,507,493,251,512,125,472,201
146,297,443,147,268,374,447,187,291,44,269,497,117,415,477,125,125,242,539,360
200,13,109,206,243,209,211,229,330,380,240,526,493,406,471,103,485,278,477,286
201,14,109,206,243,209,212,229,330,380,224,526,491,406,471,103,485,278,478,286
260,350,374,19,19,336,374,373,392,71,102,158,35,148,231,145,243,413,55,435
183,45,340,202,217,211,191,268,138,416,219,514,505,514,491,252,506,123,471,200
211,56,329,128,261,470,309,179,124,213,275,184,453,207,483,266,130,93,290,235
179,1,344,277,223,175,199,274,131,409,211,509,501,510,487,259,508,128,476,198
171,32,94,174,238,204,225,251,315,394,226,543,466,397,441,81,479,262,503,303
159,40,75,203,239,208,223,248,318,393,238,523,495,390,449,83,484,267,504,314
180,0,347,277,224,175,200,274,132,409,211,509,500,508,487,259,508,129,474,199
442,471,357,169,216,325,347,431,339,238,68,192,239,238,349,229,248,11,7,277
499,432,324,261,191,474,324,341,117,229,178,183,219,196,474,272,49,14,244,241
180,0,347,199,224,213,200,275,132,410,217,511,500,508,494,257,513,129,474,199
151,69,123,136,257,246,487,428,305,323,255,488,455,422,356,112,272,252,4,376
446,458,111,139,210,468,316,425,355,244,179,191,237,240,354,236,46,13,2,238
183,41,340,255,220,211,189,271,141,416,210,513,506,512,491,252,504,123,471,200
161,19,84,195,233,181,229,235,332,368,234,539,467,400,466,87,496,281,509,311
214,54,221,130,295,525,164,197,152,203,280,442,404,533,31,285,137,103,275,157
177,3,343,280,222,174,198,270,130,418,212,518,503,509,490,250,511,124,468,202
179,1,344,277,223,175,199,274,131,409,211,509,501,510,487,259,508,128,476,198
146,297,443,147,268,374,447,187,291,44,269,497,117,415,477,125,125,242,539,360
168,31,94,178,238,205,224,251,317,400,227,544,465,398,443,82,479,263,502,305
171,32,94,174,238,204,225,251,315,394,226,543,466,397,441,81,479,262,503,303
166,17,88,184,249,179,232,237,329,369,232,530,468,400,468,89,498,277,510,313
298,319,408,36,77,319,453,454,425,48,71,135,112,113,370,182,197,441,73,397
162,21,86,196,234,182,229,234,332,372,236,538,471,404,465,86,494,281,506,307
196,12,99,192,253,185,214,231,330,376,246,535,493,373,461,101,490,278,492,290
177,3,343,280,222,174,198,270,130,418,212,518,503,509,490,250,511,124,468,202
171,32,94,174,238,204,225,251,315,394,226,543,466,397,441,81,479,262,503,303
297,320,405,37,74,364,454,455,426,50,73,139,110,117,234,183,199,443,72,396
176,2,341,201,221,212,197,269,129,417,216,519,504,507,493,251,512,125,472,201
243,51,316,125,274,421,311,182,125,211,271,506,462,413,482,268,128,95,288,150
187,26,80,172,232,190,201,242,326,408,222,550,477,388,451,94,477,276,481,288
165,18,87,183,252,180,233,238,332,371,231,537,472,401,463,89,501,280,508,309
335,288,394,53,48,355,413,423,418,28,38,119,80,112,274,185,164,459,62,379
241,118,319,274,326,445,167,223,168,172,329,449,406,535,1,287,107,108,266,159
195,9,107,194,254,188,213,230,331,389,245,536,487,374,457,99,491,279,493,296
197,11,98,191,246,186,220,231,331,375,247,535,485,375,459,98,486,279,495,291
179,1,344,278,223,175,199,274,131,409,211,509,501,510,487,259,508,128,476,198
240,120,234,271,325,431,184,222,166,173,325,444,401,527,2,315,108,111,265,156
279,360,428,7,63,361,369,465,390,36,80,178,40,122,251,173,208,438,78,427
180,0,347,199,224,213,200,275,132,410,217,511,500,508,494,257,513,129,474,199
180,0,347,278,224,175,199,274,132,409,211,509,501,508,494,259,508,129,476,199
145,66,114,138,264,254,489,185,297,240,276,494,441,409,485,118,274,258,528,371
210,53,321,129,260,420,313,180,123,212,274,505,454,412,484,265,127,94,291,151
201,14,109,206,243,209,211,229,330,380,224,526,490,406,471,103,485,278,478,286
150,71,120,484,278,249,480,192,303,327,253,493,457,419,204,117,279,249,532,370
159,40,75,203,239,208,223,248,318,393,238,523,495,390,449,83,484,267,504,314
179,1,344,278,223,175,199,274,131,409,211,509,501,510,487,259,509,128,476,198
