,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,Class
2289,0.56,0.99,0.18,0.67,0.0,0.27,0.33,0.0,0.84,0.22,1.0,0.61,0.82,0.99,0.32,1.0,0
2290,0.57,1.0,0.16,0.72,0.0,0.34,0.24,0.0,0.81,0.14,1.0,0.51,0.73,0.86,0.12,0.82,0
2291,0.58,1.0,0.17,0.83,0.0,0.41,0.18,0.0,0.75,0.05,1.0,0.45,0.89,0.87,0.34,0.88,0
2292,0.59,1.0,0.24,0.68,0.24,0.19,0.69,0.0,1.0,0.42,0.74,0.85,0.21,0.63,0.0,0.19,0
2293,0.61,1.0,0.23,0.76,0.0,0.38,0.15,0.0,0.75,0.11,1.0,0.48,0.73,0.85,0.14,0.91,0
2294,0.62,1.0,0.14,0.91,0.0,0.54,0.12,0.17,0.55,0.0,0.96,0.21,1.0,0.6,0.79,0.95,0
2295,0.63,0.97,0.19,0.9,0.04,0.36,0.42,0.0,0.95,0.25,1.0,0.77,0.46,1.0,0.0,0.73,0
2296,0.65,0.84,0.31,1.0,0.0,0.63,0.15,0.16,0.62,0.0,1.0,0.3,0.89,0.78,0.44,0.94,0
2297,0.65,0.9,0.24,0.9,0.0,0.44,0.19,0.0,0.67,0.06,1.0,0.44,0.91,0.91,0.44,1.0,0
2298,0.06,0.74,0.0,0.32,0.38,0.0,0.9,0.14,1.0,0.64,0.67,1.0,0.18,0.78,0.16,0.34,0
2299,0.68,0.96,0.2,0.84,0.0,0.42,0.17,0.0,0.74,0.01,1.0,0.4,0.88,0.84,0.36,1.0,0
2300,0.7,0.92,0.12,0.52,0.26,0.0,1.0,0.43,0.88,1.0,0.13,0.58,0.61,0.68,0.0,0.11,0
2301,0.73,1.0,0.22,0.62,0.0,0.0,0.65,0.14,1.0,0.73,0.42,0.82,0.51,0.65,0.41,0.37,0
2302,0.74,1.0,0.02,0.49,0.29,0.0,1.0,0.54,0.61,0.95,0.0,0.39,0.75,0.77,0.06,0.21,0
2303,0.07,0.59,0.0,0.25,0.35,0.0,0.76,0.0,1.0,0.35,0.8,0.76,0.44,1.0,0.05,0.88,0
2304,0.78,0.83,0.2,0.58,0.27,0.0,1.0,0.5,0.61,1.0,0.0,0.38,0.68,0.69,0.03,0.08,0
2305,0.79,0.98,0.3,0.9,0.02,0.53,0.0,0.1,0.46,0.0,0.88,0.27,1.0,0.7,0.73,1.0,0
2306,0.81,1.0,0.22,0.84,0.0,0.41,0.18,0.0,0.82,0.18,1.0,0.6,0.61,0.96,0.13,0.69,0
2307,0.85,0.91,0.27,0.82,0.0,0.48,0.08,0.13,0.64,0.0,1.0,0.3,0.95,0.66,0.73,1.0,0
2308,0.08,0.87,0.0,0.41,0.21,0.0,0.7,0.16,1.0,0.55,0.97,1.0,0.45,0.97,0.09,0.63,0
2309,0.09,1.0,0.0,0.66,0.2,0.25,0.61,0.0,1.0,0.21,0.93,0.64,0.54,0.91,0.09,0.76,0
2310,0.92,0.47,0.92,0.9,0.49,1.0,0.11,0.74,0.0,0.27,0.35,0.0,0.76,0.18,1.0,0.57,0
2311,0.96,0.43,0.63,0.0,0.01,0.07,0.0,0.57,0.38,1.0,1.0,0.94,0.81,0.45,0.36,0.07,0
2312,0.09,0.93,0.0,0.54,0.12,0.15,0.62,0.0,0.99,0.29,1.0,0.7,0.64,1.0,0.26,0.78,0
2313,0.0,1.0,0.73,0.97,0.95,0.8,1.0,0.64,0.95,0.48,0.82,0.31,0.64,0.15,0.23,0.0,1
2314,0.0,0.13,0.27,0.42,0.67,0.7,1.0,1.0,0.91,0.94,0.69,0.63,0.51,0.32,0.42,0.0,1
2315,0.0,0.25,0.18,0.5,0.59,0.75,1.0,1.0,0.92,0.8,0.69,0.54,0.52,0.27,0.46,0.0,1
2316,0.0,0.25,0.35,0.48,0.64,0.75,0.97,1.0,1.0,0.88,0.81,0.59,0.61,0.29,0.43,0.0,1
2317,0.0,0.3,0.24,0.54,0.52,0.77,0.78,1.0,1.0,0.99,0.88,0.66,0.74,0.33,0.64,0.0,1
2318,0.0,0.03,0.29,0.24,0.57,0.5,0.83,0.77,1.0,1.0,0.8,0.69,0.64,0.35,0.51,0.0,1
2319,0.0,0.33,0.35,0.52,0.66,0.75,0.96,1.0,1.0,0.96,0.79,0.66,0.61,0.33,0.49,0.0,1
2320,0.0,0.35,0.39,0.52,0.71,0.75,1.0,1.0,0.82,0.76,0.59,0.51,0.36,0.25,0.09,0.0,1
2321,0.0,0.36,0.39,0.49,0.72,0.74,1.0,1.0,0.97,0.87,0.84,0.58,0.71,0.28,0.73,0.0,1
2322,0.0,0.37,0.39,0.53,0.71,0.76,1.0,1.0,0.88,0.81,0.67,0.53,0.45,0.25,0.17,0.0,1
2323,0.0,0.39,0.28,0.5,0.55,0.65,0.81,0.85,1.0,1.0,0.82,0.69,0.67,0.35,0.56,0.0,1
2324,0.0,0.39,0.35,0.55,0.68,0.77,1.0,1.0,0.96,0.76,0.77,0.5,0.56,0.25,0.36,0.0,1
2325,0.0,0.4,0.26,0.65,0.6,0.85,0.97,1.0,1.0,0.82,0.74,0.56,0.48,0.29,0.3,0.0,1
2326,0.0,0.41,0.23,0.65,0.63,0.87,1.0,1.0,0.9,0.75,0.73,0.51,0.67,0.25,0.67,0.0,1
2327,0.0,0.42,0.32,0.61,0.65,0.81,1.0,1.0,0.92,0.76,0.74,0.51,0.56,0.25,0.4,0.0,1
2328,0.0,0.42,0.07,0.64,0.52,0.83,1.0,1.0,0.94,0.78,0.67,0.52,0.43,0.26,0.22,0.0,1
2329,0.0,0.43,0.33,0.61,0.69,0.79,1.0,1.0,0.93,0.79,0.83,0.53,0.78,0.26,0.74,0.0,1
2330,0.0,0.43,0.46,0.66,0.73,0.9,0.79,1.0,0.81,0.74,0.85,0.49,0.88,0.24,1.0,0.0,1
2331,0.0,0.45,0.0,0.61,0.48,0.82,1.0,1.0,0.97,0.78,0.72,0.51,0.45,0.24,0.33,0.0,1
2332,0.0,0.45,0.26,0.68,0.68,0.88,1.0,1.0,0.76,0.75,0.55,0.51,0.42,0.26,0.4,0.0,1
2333,0.0,0.46,0.42,0.66,0.79,0.88,1.0,1.0,0.84,0.75,0.72,0.49,0.63,0.23,0.6,0.0,1
2334,0.0,0.47,0.2,0.61,0.5,0.8,0.8,1.0,1.0,0.96,0.87,0.64,0.73,0.32,0.62,0.0,1
2335,0.0,0.48,0.14,0.61,0.53,0.81,0.95,1.0,1.0,0.82,0.76,0.56,0.53,0.29,0.39,0.0,1
2336,0.0,0.49,0.4,0.59,0.72,0.79,1.0,1.0,0.85,0.74,0.69,0.48,0.53,0.21,0.51,0.0,1
2337,0.0,0.5,0.28,0.7,0.77,0.93,1.0,1.0,0.77,0.75,0.56,0.5,0.44,0.25,0.62,0.0,1
2338,0.0,0.5,0.51,0.73,0.85,1.0,0.75,0.67,0.53,0.36,0.15,0.08,0.25,0.02,1.0,0.0,1
2339,0.0,0.51,0.24,0.64,0.66,0.85,1.0,1.0,0.72,0.75,0.47,0.51,0.26,0.25,0.11,0.0,1
2340,0.0,0.51,0.37,0.81,0.47,1.0,0.37,0.66,0.33,0.32,0.04,0.03,0.18,0.0,1.0,0.03,1
2341,0.0,0.52,0.52,0.75,0.87,1.0,0.65,0.84,0.63,0.58,0.72,0.32,0.98,0.07,1.0,0.0,1
2342,0.0,0.53,0.28,0.58,0.64,0.79,1.0,1.0,0.81,0.77,0.58,0.52,0.37,0.26,0.19,0.0,1
2343,0.0,0.53,0.33,0.71,0.76,0.93,1.0,1.0,0.79,0.74,0.53,0.49,0.28,0.25,0.12,0.0,1
2344,0.0,0.53,0.08,0.55,0.46,0.79,0.89,1.0,1.0,0.85,0.78,0.57,0.56,0.29,0.47,0.0,1
2345,0.0,0.54,0.4,0.67,0.78,0.88,1.0,1.0,0.82,0.74,0.69,0.49,0.58,0.24,0.4,0.0,1
2346,0.0,0.54,0.47,0.78,0.69,1.0,0.53,0.68,0.33,0.35,0.0,0.06,0.31,0.0,1.0,0.07,1
2347,0.0,0.55,0.37,0.8,0.62,1.0,0.46,0.67,0.27,0.36,0.04,0.05,0.37,0.02,1.0,0.0,1
2348,0.0,0.55,0.41,0.8,0.62,1.0,0.48,0.66,0.35,0.32,0.11,0.0,0.07,0.04,1.0,0.04,1
2349,0.0,0.55,0.58,0.77,1.0,1.0,0.89,0.97,0.63,0.73,0.37,0.49,0.11,0.24,0.0,0.0,1
2350,0.0,0.56,0.32,0.78,0.78,0.98,1.0,1.0,0.85,0.75,0.76,0.5,0.73,0.24,0.76,0.0,1
2351,0.0,0.57,0.14,0.73,0.54,0.9,1.0,1.0,1.0,0.74,0.8,0.47,0.55,0.22,0.49,0.0,1
2352,0.0,0.57,0.36,0.83,0.62,1.0,0.54,0.64,0.47,0.28,0.12,0.0,0.3,0.02,1.0,0.03,1
2353,0.0,0.58,0.4,0.72,0.74,0.9,1.0,1.0,0.89,0.74,0.78,0.47,0.69,0.19,0.68,0.0,1
2354,0.0,0.58,0.62,0.82,0.78,1.0,0.41,0.75,0.3,0.5,0.32,0.24,0.3,0.02,1.0,0.0,1
2355,0.0,0.59,0.46,0.83,0.62,1.0,0.57,0.64,0.55,0.27,0.25,0.0,0.36,0.03,1.0,0.01,1
2356,0.0,0.6,0.34,0.83,0.57,1.0,0.51,0.64,0.48,0.29,0.13,0.0,0.2,0.02,1.0,0.04,1
2357,0.0,0.6,0.4,0.79,1.0,1.0,0.9,0.86,0.6,0.64,0.3,0.42,0.1,0.21,0.3,0.0,1
2358,0.0,0.61,0.34,0.68,0.68,0.82,1.0,1.0,1.0,0.87,0.81,0.58,0.63,0.3,0.5,0.0,1
2359,0.0,0.61,0.39,0.79,0.74,0.99,1.0,1.0,0.85,0.75,0.65,0.49,0.44,0.24,0.24,0.0,1
2360,0.0,0.62,0.33,0.9,0.46,1.0,0.48,0.64,0.55,0.27,0.3,0.05,0.44,0.0,1.0,0.05,1
2361,0.0,0.62,0.35,0.7,0.68,0.85,1.0,1.0,0.99,0.8,0.9,0.53,0.85,0.27,0.87,0.0,1
2362,0.0,0.62,0.54,0.76,0.87,0.98,1.0,1.0,0.98,0.75,0.98,0.5,0.98,0.24,0.96,0.0,1
2363,0.0,0.63,0.55,0.75,0.84,0.97,1.0,1.0,0.91,0.75,0.81,0.5,0.77,0.25,0.81,0.0,1
2364,0.0,0.64,0.37,0.82,0.85,0.99,1.0,1.0,0.85,0.75,0.76,0.5,0.7,0.24,0.67,0.0,1
2365,0.0,0.64,0.48,0.8,1.0,1.0,0.95,0.87,0.76,0.65,0.67,0.43,0.57,0.22,0.71,0.0,1
2366,0.0,0.65,0.32,0.69,0.66,0.84,1.0,1.0,0.89,0.75,0.77,0.49,0.66,0.23,0.62,0.0,1
2367,0.0,0.65,0.46,0.91,0.5,1.0,0.5,0.62,0.52,0.23,0.04,0.02,0.12,0.05,1.0,0.0,1
2368,0.0,0.65,0.64,0.81,1.0,1.0,0.91,0.81,0.79,0.61,0.73,0.39,0.67,0.19,0.97,0.0,1
2369,0.0,0.66,0.46,0.79,1.0,1.0,0.97,0.91,0.71,0.68,0.46,0.46,0.26,0.23,0.23,0.0,1
2370,0.0,0.66,0.57,0.8,1.0,1.0,0.97,0.89,0.87,0.64,0.89,0.4,0.84,0.15,0.34,0.0,1
2371,0.0,0.67,0.49,0.83,1.0,1.0,0.81,0.8,0.6,0.6,0.4,0.4,0.33,0.2,0.47,0.0,1
2372,0.0,0.67,0.53,0.82,1.0,1.0,0.86,0.84,0.75,0.63,0.67,0.42,0.63,0.21,0.55,0.0,1
2373,0.0,0.68,0.57,0.96,0.82,1.0,0.7,0.59,0.65,0.18,0.18,0.03,0.19,0.0,1.0,0.02,1
2374,0.0,0.69,0.38,0.86,0.62,1.0,0.52,0.53,0.57,0.05,1.0,0.03,0.51,0.03,0.11,0.0,1
2375,0.0,0.7,0.36,0.91,0.58,1.0,0.54,0.51,0.46,0.04,0.09,0.0,0.54,0.0,1.0,0.02,1
2376,0.0,0.71,0.41,0.83,1.0,1.0,0.94,0.82,0.75,0.61,0.62,0.41,0.53,0.2,0.44,0.0,1
2377,0.0,0.71,0.71,0.94,0.89,1.0,0.76,0.74,0.73,0.49,0.78,0.23,0.84,0.03,1.0,0.0,1
2378,0.0,0.72,0.52,0.84,1.0,1.0,0.94,0.96,0.85,0.72,0.81,0.48,0.79,0.24,0.75,0.0,1
2379,0.0,0.73,0.45,0.86,0.9,1.0,1.0,0.9,0.86,0.68,0.73,0.45,0.66,0.23,0.62,0.0,1
2380,0.0,0.74,0.44,0.86,0.94,1.0,1.0,0.85,0.79,0.64,0.54,0.42,0.31,0.21,0.08,0.0,1
2381,0.0,0.76,0.35,1.0,0.55,1.0,0.49,0.62,0.44,0.24,0.02,0.0,0.27,0.0,1.0,0.08,1
2382,0.0,0.78,0.4,0.82,0.69,1.0,0.61,0.69,0.62,0.37,0.66,0.06,0.18,0.0,1.0,0.05,1
2383,0.0,0.82,0.52,1.0,0.71,1.0,0.63,0.64,0.61,0.29,0.36,0.02,0.21,0.0,1.0,0.05,1
2384,0.0,0.87,0.56,0.98,1.0,1.0,0.84,0.8,0.67,0.6,0.56,0.4,0.51,0.2,0.44,0.0,1
2385,1.0,1.0,1.0,0.92,0.67,0.77,0.33,0.62,0.33,0.46,0.33,0.3,0.0,0.15,0.0,0.0,1
2386,1.0,1.0,0.7,0.89,0.52,0.75,0.39,0.61,0.25,0.45,0.11,0.31,0.02,0.15,0.0,0.0,1
2387,1.0,1.0,0.74,0.86,0.48,0.73,0.29,0.59,0.16,0.44,0.06,0.29,0.0,0.15,0.0,0.0,1
2388,1.0,1.0,0.83,0.93,0.67,0.78,0.54,0.62,0.38,0.47,0.29,0.31,0.12,0.15,0.0,0.0,1
2389,1.0,1.0,0.89,0.85,0.74,0.71,0.59,0.57,0.41,0.43,0.24,0.29,0.09,0.14,0.0,0.0,1
2390,1.0,0.8,1.0,1.0,0.77,0.97,0.63,0.77,0.43,0.58,0.29,0.38,0.11,0.19,0.0,0.0,1
2391,1.0,0.98,1.0,1.0,0.71,0.83,0.5,0.66,0.36,0.5,0.21,0.33,0.0,0.16,0.07,0.0,1
2392,0.12,0.57,0.5,0.84,0.83,1.0,0.66,0.58,0.49,0.16,0.0,0.05,0.39,0.05,1.0,0.0,1
2393,0.12,0.72,0.5,0.83,0.92,1.0,1.0,0.92,0.75,0.69,0.47,0.46,0.22,0.23,0.0,0.0,1
2394,0.13,0.68,0.69,1.0,0.72,0.97,0.7,0.5,0.67,0.03,0.0,0.0,0.24,0.03,1.0,0.06,1
2395,0.14,0.7,0.46,1.0,0.48,0.78,0.41,0.36,0.21,0.0,0.0,0.03,0.5,0.01,1.0,0.01,1
2396,0.01,0.64,0.29,1.0,0.34,0.79,0.28,0.32,0.0,0.01,0.08,0.0,0.54,0.02,1.0,0.02,1
2397,0.17,0.6,0.46,0.8,1.0,1.0,0.89,0.89,0.6,0.67,0.34,0.45,0.17,0.22,0.0,0.0,1
2398,0.18,0.73,0.62,1.0,0.53,0.85,0.53,0.53,0.52,0.2,0.0,0.0,0.08,0.06,1.0,0.06,1
2399,0.2,0.63,0.42,1.0,0.36,0.88,0.3,0.46,0.23,0.04,0.0,0.02,0.5,0.0,1.0,0.04,1
2400,0.21,0.82,0.13,0.55,0.54,1.0,0.27,0.87,0.38,0.37,0.4,0.0,0.0,0.07,1.0,0.05,1
2401,0.22,0.65,0.56,1.0,0.57,0.88,0.49,0.35,0.31,0.0,0.0,0.06,0.52,0.08,1.0,0.12,1
2402,0.23,0.66,0.82,0.89,1.0,1.0,0.85,0.63,0.79,0.25,0.45,0.0,0.0,0.02,0.77,0.04,1
2403,0.23,0.73,0.6,1.0,0.54,0.76,0.4,0.34,0.22,0.0,0.0,0.15,0.5,0.14,1.0,0.14,1
2404,0.24,0.7,0.0,0.74,0.48,0.97,1.0,1.0,0.95,0.76,0.86,0.5,0.81,0.24,0.81,0.0,1
2405,0.27,0.69,0.56,1.0,0.64,0.87,0.58,0.47,0.37,0.12,0.0,0.0,0.5,0.02,1.0,0.05,1
2406,0.27,0.73,0.81,1.0,0.83,0.91,0.78,0.52,0.62,0.14,0.0,0.0,0.29,0.01,1.0,0.05,1
2407,0.3,0.71,0.43,1.0,0.44,0.9,0.38,0.37,0.56,0.0,1.0,0.1,0.42,0.06,0.0,0.05,1
2408,0.31,0.88,0.03,0.84,0.77,1.0,1.0,0.96,0.69,0.72,0.37,0.49,0.14,0.24,0.0,0.0,1
2409,0.32,0.74,0.61,1.0,0.59,0.82,0.53,0.36,0.35,0.01,0.0,0.0,0.5,0.03,1.0,0.01,1
2410,0.33,0.65,0.81,0.88,1.0,1.0,0.88,0.7,0.74,0.41,0.52,0.13,0.0,0.0,0.81,0.01,1
2411,0.35,0.74,0.17,0.8,0.96,1.0,1.0,0.93,0.7,0.7,0.39,0.47,0.13,0.23,0.0,0.0,1
2412,0.36,0.63,0.0,0.67,0.53,0.84,1.0,1.0,0.83,0.74,0.66,0.47,0.53,0.21,0.51,0.0,1
2413,0.03,0.71,0.38,1.0,0.45,0.92,0.42,0.56,0.38,0.2,0.0,0.01,0.32,0.0,1.0,0.03,1
2414,0.4,0.74,0.87,0.93,1.0,1.0,0.81,0.73,0.79,0.47,0.64,0.2,0.15,0.0,0.0,0.06,1
2415,0.44,0.75,0.9,1.0,0.83,0.86,0.67,0.46,0.51,0.06,0.0,0.0,0.27,0.03,1.0,0.02,1
2416,0.45,0.36,0.76,0.67,1.0,1.0,0.96,0.74,0.92,0.39,0.86,0.09,0.0,0.0,0.92,0.0,1
2417,0.46,0.85,1.0,1.0,0.97,0.85,0.73,0.68,0.51,0.51,0.35,0.33,0.16,0.16,0.0,0.0,1
2418,0.5,0.67,0.75,1.0,0.67,0.81,0.56,0.4,0.43,0.02,0.0,0.0,0.57,0.02,1.0,0.04,1
2419,0.53,0.64,0.73,1.0,0.7,0.83,0.67,0.42,0.36,0.11,0.0,0.0,0.49,0.04,1.0,0.09,1
2420,0.05,0.62,0.21,0.83,0.46,1.0,0.43,0.57,0.43,0.14,0.0,0.09,0.5,0.0,1.0,0.0,1
2421,0.6,0.83,1.0,1.0,0.93,0.91,0.6,0.73,0.4,0.55,0.2,0.36,0.07,0.18,0.0,0.0,1
2422,0.73,0.66,0.32,0.81,1.0,1.0,0.95,0.87,0.64,0.65,0.27,0.43,0.05,0.22,0.0,0.0,1
2423,0.07,0.56,0.33,1.0,0.46,0.97,0.39,0.43,0.05,0.11,0.0,0.07,0.49,0.02,1.0,0.0,1
2424,0.8,1.0,1.0,0.97,0.75,0.82,0.55,0.66,0.35,0.5,0.2,0.34,0.05,0.16,0.0,0.0,1
2425,0.08,0.44,0.0,0.66,0.5,0.89,1.0,1.0,0.83,0.75,0.61,0.5,0.56,0.25,0.61,0.0,1
2426,0.88,0.8,0.12,0.8,1.0,1.0,1.0,0.91,0.65,0.68,0.29,0.46,0.06,0.23,0.0,0.0,1
2427,0.0,0.53,0.34,0.88,0.88,1.0,1.0,0.67,0.63,0.31,0.16,0.03,0.41,0.0,0.98,0.04,2
2428,0.0,0.63,0.24,1.0,0.52,0.79,0.37,0.37,0.05,0.03,0.06,0.0,0.53,0.02,1.0,0.01,2
2429,0.0,0.64,0.25,0.9,0.77,1.0,0.76,0.69,0.51,0.39,0.18,0.12,0.43,0.0,1.0,0.04,2
2430,0.0,0.65,0.24,0.95,0.56,1.0,0.54,0.59,0.34,0.23,0.33,0.0,0.66,0.04,1.0,0.05,2
2431,0.0,0.67,0.25,1.0,0.49,0.73,0.36,0.33,0.06,0.0,0.01,0.06,0.53,0.03,1.0,0.11,2
2432,0.0,0.69,0.26,1.0,0.54,0.67,0.45,0.23,0.05,0.0,0.06,0.0,0.53,0.0,1.0,0.01,2
2433,0.0,0.7,0.19,1.0,0.43,0.77,0.36,0.44,0.13,0.15,0.11,0.15,0.57,0.14,1.0,0.0,2
2434,0.0,0.71,0.24,1.0,0.6,1.0,0.61,0.63,0.41,0.29,0.16,0.0,0.58,0.03,1.0,0.02,2
2435,0.0,0.71,0.29,1.0,0.7,0.88,0.65,0.38,0.28,0.1,0.11,0.16,0.56,0.11,1.0,0.0,2
2436,0.0,0.73,0.25,1.0,0.54,0.99,0.39,0.65,0.18,0.35,0.22,0.07,0.61,0.05,1.0,0.0,2
2437,0.0,0.74,0.18,1.0,0.67,0.99,0.57,0.66,0.27,0.36,0.0,0.05,0.48,0.0,1.0,0.05,2
2438,0.0,0.75,0.2,0.97,0.53,1.0,0.71,0.77,0.49,0.46,0.35,0.14,0.66,0.02,1.0,0.0,2
2439,0.0,0.75,0.28,1.0,0.66,0.71,0.55,0.34,0.05,0.12,0.22,0.11,0.8,0.0,1.0,0.32,2
2440,0.0,0.76,0.28,1.0,0.48,0.75,0.34,0.43,0.11,0.13,0.16,0.0,0.57,0.03,1.0,0.03,2
2441,0.0,0.77,0.28,1.0,0.6,0.85,0.62,0.51,0.42,0.21,0.26,0.02,0.68,0.0,1.0,0.0,2
2442,0.0,0.77,0.36,1.0,0.94,0.98,1.0,0.69,0.58,0.44,0.14,0.21,0.29,0.02,0.9,0.0,2
2443,0.0,0.78,0.27,1.0,0.42,0.7,0.29,0.33,0.01,0.04,0.14,0.05,0.57,0.0,1.0,0.04,2
2444,0.0,0.79,0.28,1.0,0.54,0.9,0.46,0.62,0.28,0.36,0.18,0.09,0.52,0.0,1.0,0.05,2
2445,0.0,0.8,0.17,1.0,0.41,0.99,0.6,0.83,0.53,0.52,0.56,0.2,0.77,0.07,1.0,0.0,2
2446,0.0,0.8,0.28,1.0,0.53,0.82,0.31,0.53,0.04,0.27,0.14,0.03,0.58,0.04,1.0,0.0,2
2447,0.0,0.81,0.27,1.0,0.58,0.9,0.45,0.58,0.25,0.3,0.23,0.0,0.61,0.02,1.0,0.06,2
2448,0.0,0.82,0.22,1.0,0.5,0.91,0.48,0.66,0.38,0.42,0.33,0.18,0.55,0.01,1.0,0.0,2
2449,0.0,0.82,0.27,1.0,0.35,0.7,0.18,0.4,0.06,0.08,0.41,0.0,0.78,0.01,1.0,0.03,2
2450,0.0,0.82,0.35,1.0,0.74,0.97,0.68,0.64,0.4,0.37,0.18,0.15,0.58,0.06,1.0,0.0,2
2451,0.0,0.83,0.29,1.0,0.63,0.95,0.46,0.62,0.25,0.31,0.25,0.0,0.63,0.04,1.0,0.14,2
2452,0.0,0.84,0.36,1.0,0.53,0.79,0.28,0.5,0.07,0.22,0.27,0.0,0.76,0.05,1.0,0.14,2
2453,0.0,0.85,0.27,1.0,0.54,0.85,0.44,0.55,0.22,0.29,0.33,0.07,0.66,0.02,1.0,0.0,2
2454,0.0,0.86,0.29,1.0,0.62,0.95,0.51,0.62,0.31,0.32,0.34,0.02,0.69,0.0,1.0,0.06,2
2455,0.0,0.86,0.35,1.0,0.66,0.81,0.66,0.55,0.51,0.3,0.26,0.08,0.49,0.0,1.0,0.01,2
2456,0.0,0.88,0.33,1.0,0.64,0.87,0.47,0.56,0.22,0.31,0.28,0.06,0.64,0.01,1.0,0.0,2
2457,0.0,0.89,0.36,1.0,0.56,0.72,0.38,0.4,0.08,0.13,0.01,0.0,0.51,0.01,1.0,0.0,2
2458,0.0,0.9,0.15,1.0,0.24,0.67,0.11,0.34,0.02,0.11,0.35,0.05,0.67,0.02,1.0,0.0,2
2459,0.0,0.91,0.34,1.0,0.65,0.83,0.43,0.56,0.12,0.36,0.25,0.13,0.63,0.07,1.0,0.0,2
2460,0.0,0.93,0.41,1.0,0.61,0.77,0.34,0.52,0.0,0.3,0.04,0.1,0.51,0.03,1.0,0.0,2
2461,0.0,0.99,0.27,1.0,0.49,0.83,0.51,0.55,0.43,0.29,0.44,0.03,0.72,0.0,1.0,0.02,2
2462,0.1,0.89,0.3,1.0,0.49,0.73,0.29,0.42,0.0,0.16,0.2,0.19,0.64,0.2,1.0,0.0,2
2463,0.11,0.64,0.23,1.0,0.52,0.84,0.34,0.45,0.05,0.1,0.0,0.0,0.5,0.03,1.0,0.05,2
2464,0.12,0.68,0.25,1.0,0.48,0.79,0.32,0.46,0.0,0.22,0.2,0.16,0.57,0.0,1.0,0.05,2
2465,0.12,0.83,0.5,1.0,0.85,0.67,0.63,0.23,0.16,0.0,0.0,0.18,0.52,0.18,1.0,0.01,2
2466,0.13,0.71,0.38,1.0,0.63,0.82,0.38,0.47,0.0,0.21,0.08,0.2,0.54,0.0,1.0,0.14,2
2467,0.13,0.76,0.35,1.0,0.57,0.74,0.4,0.42,0.1,0.14,0.0,0.13,0.51,0.11,1.0,0.0,2
2468,0.14,0.63,0.19,1.0,0.63,0.96,0.6,0.57,0.27,0.26,0.0,0.0,0.5,0.06,1.0,0.12,2
2469,0.14,0.65,0.36,1.0,0.67,0.82,0.5,0.4,0.17,0.06,0.0,0.0,0.5,0.04,1.0,0.02,2
2470,0.14,0.79,0.37,1.0,0.56,0.79,0.3,0.52,0.0,0.27,0.0,0.02,0.5,0.0,1.0,0.04,2
2471,0.15,0.71,0.38,1.0,0.73,0.89,0.59,0.56,0.3,0.28,0.0,0.0,0.49,0.05,1.0,0.17,2
2472,0.15,0.77,0.27,1.0,0.9,0.87,0.88,0.59,0.52,0.33,0.0,0.12,0.23,0.0,1.0,0.02,2
2473,0.01,0.61,0.11,1.0,0.19,0.66,0.02,0.27,0.0,0.01,0.33,0.0,0.66,0.01,1.0,0.03,2
2474,0.16,0.59,0.3,1.0,0.55,0.87,0.34,0.45,0.0,0.12,0.02,0.0,0.51,0.04,1.0,0.07,2
2475,0.16,0.75,0.41,1.0,0.52,0.64,0.32,0.27,0.0,0.0,0.21,0.09,0.62,0.02,1.0,0.14,2
2476,0.16,0.88,0.47,1.0,0.5,0.69,0.28,0.38,0.0,0.13,0.23,0.01,0.62,0.01,1.0,0.0,2
2477,0.17,0.73,0.41,1.0,0.55,0.73,0.32,0.39,0.0,0.12,0.13,0.04,0.58,0.0,1.0,0.08,2
2478,0.18,0.75,0.51,1.0,0.65,0.72,0.41,0.35,0.08,0.03,0.0,0.0,0.5,0.06,1.0,0.15,2
2479,0.19,1.0,0.36,0.96,0.34,0.58,0.13,0.28,0.0,0.12,0.34,0.05,0.67,0.0,1.0,0.04,2
2480,0.19,0.65,0.24,1.0,0.46,0.81,0.27,0.45,0.0,0.12,0.1,0.01,0.56,0.0,1.0,0.04,2
2481,0.19,0.88,0.53,1.0,0.92,0.84,0.71,0.53,0.36,0.29,0.0,0.05,0.48,0.01,1.0,0.0,2
2482,0.2,0.93,0.74,1.0,1.0,0.83,0.78,0.64,0.41,0.46,0.0,0.29,0.11,0.11,0.78,0.0,2
2483,0.21,0.74,0.3,1.0,0.72,0.77,0.66,0.36,0.31,0.02,0.0,0.14,0.52,0.24,1.0,0.0,2
2484,0.22,0.72,0.34,1.0,0.62,0.73,0.38,0.35,0.0,0.08,0.05,0.0,0.53,0.03,1.0,0.08,2
2485,0.23,0.63,0.42,1.0,0.63,0.65,0.39,0.22,0.0,0.0,0.13,0.2,0.56,0.18,1.0,0.21,2
2486,0.23,0.67,0.43,1.0,0.73,0.85,0.68,0.49,0.41,0.17,0.0,0.0,0.49,0.04,1.0,0.06,2
2487,0.24,0.61,0.45,1.0,0.9,0.99,0.68,0.54,0.29,0.17,0.0,0.14,0.51,0.0,1.0,0.05,2
2488,0.24,0.82,0.53,1.0,0.53,0.42,0.29,0.0,0.0,0.07,0.32,0.21,0.65,0.01,1.0,0.01,2
2489,0.25,0.7,0.4,1.0,0.68,0.81,0.47,0.46,0.18,0.14,0.0,0.0,0.53,0.03,1.0,0.12,2
2490,0.25,0.81,0.45,1.0,0.54,0.72,0.33,0.41,0.0,0.16,0.15,0.06,0.61,0.0,1.0,0.2,2
